symbol,role,period_end,value,available_from,tag,seen
A,assets,2013-07-31,10278000000,2013-09-19,Assets,2026-08-25
A,cash,2013-07-31,2330000000,2013-09-19,CashAndCashEquivalentsAtCarryingValue,2026-08-25
A,debt,2013-07-31,2701000000,2013-09-19,LongTermDebtNoncurrent,2026-08-25
A,equity,2013-07-31,4787000000,2013-09-19,StockholdersEquity,2026-08-25
A,inventory,2013-07-31,1054000000,2013-09-19,InventoryNet,2026-08-25
A,liabilities,2013-07-31,5488000000,2013-09-19,Liabilities,2026-08-25
A,operatingIncome,2013-07-31,236000000,2013-09-19,OperatingIncomeLoss,2026-08-25
A,receivables,2013-07-31,875000000,2013-09-19,AccountsReceivableNetCurrent,2026-08-25
A,revenue,2013-07-31,1652000000,2013-09-19,SalesRevenueNet,2026-08-25
A,rnd,2013-07-31,171000000,2013-09-19,ResearchAndDevelopmentExpense,2026-08-25
A,shares,2013-07-31,600000000,2013-09-19,CommonStockSharesOutstanding,2026-08-25
AAPL,assets,2013-09-28,207000000000,2013-11-17,Assets,2026-08-25
AAPL,cash,2013-09-28,14259000000,2013-11-17,CashAndCashEquivalentsAtCarryingValue,2026-08-25
AAPL,debt,2013-09-28,16960000000,2013-11-17,LongTermDebt,2026-08-25
AAPL,equity,2013-09-28,123549000000,2013-11-17,StockholdersEquity,2026-08-25
AAPL,grossProfit,2013-09-28,13871000000,2013-11-17,GrossProfit,2026-08-25
AAPL,inventory,2013-09-28,1764000000,2013-11-17,InventoryNet,2026-08-25
AAPL,liabilities,2013-09-28,83451000000,2013-11-17,Liabilities,2026-08-25
AAPL,netIncome,2013-09-28,7512000000,2013-11-17,NetIncomeLoss,2026-08-25
AAPL,receivables,2013-09-28,13102000000,2013-11-17,AccountsReceivableNetCurrent,2026-08-25
AAPL,revenue,2013-09-28,37472000000,2013-11-17,SalesRevenueNet,2026-08-25
AAPL,shares,2013-09-28,6294494000,2013-11-17,CommonStockSharesOutstanding,2026-08-25
ABBV,assets,2013-09-30,28252000000,2013-11-19,Assets,2026-08-25
ABBV,cash,2013-09-30,8975000000,2013-11-19,CashAndCashEquivalentsAtCarryingValue,2026-08-25
ABBV,equity,2013-09-30,3577000000,2013-11-19,StockholdersEquity,2026-08-25
ABBV,grossProfit,2013-09-30,3566000000,2013-11-19,GrossProfit,2026-08-25
